Summer 2004	Friday	9:00AM - 9:59AM
Summer 2004	Monday	6:00PM - 6:59PM
Summer 2004	Thursday	6:00PM - 6:59PM
Summer 2004	Tuesday	6:00PM - 6:59PM
Summer 2004	Wednesday	6:00PM - 6:59PM
Summer 2005	Friday	9:00AM - 9:59AM
Summer 2005	Monday	6:00PM - 6:59PM
Summer 2005	Thursday	6:00PM - 6:59PM
Summer 2005	Tuesday	6:00PM - 6:59PM
Summer 2005	Wednesday	6:00PM - 6:59PM
Summer 2006	Friday	9:00AM - 9:59AM
Summer 2006	Monday	6:00PM - 6:59PM
Summer 2006	Thursday	6:00PM - 6:59PM
Summer 2006	Tuesday	6:00PM - 6:59PM
Summer 2006	Wednesday	6:00PM - 6:59PM
Summer 2007	Friday	9:00AM - 9:59AM
Summer 2007	Monday	9:00AM - 9:59AM
Summer 2007	Thursday	6:00PM - 6:59PM
Summer 2007	Tuesday	6:00PM - 6:59PM
Summer 2007	Wednesday	6:00PM - 6:59PM
Summer 2008	Friday	9:00AM - 9:59AM
Summer 2008	Monday	9:00AM - 9:59AM
Summer 2008	Thursday	6:00PM - 6:59PM
Summer 2008	Tuesday	6:00PM - 6:59PM
Summer 2008	Wednesday	6:00PM - 6:59PM
Summer 2009	Friday	9:00AM - 9:59AM
Summer 2009	Monday	9:00AM - 9:59AM
Summer 2009	Thursday	6:00PM - 6:59PM
Summer 2009	Tuesday	6:00PM - 6:59PM
Summer 2009	Wednesday	6:00PM - 6:59PM
Summer 2010	Friday	9:00AM - 9:59AM
Summer 2010	Monday	9:00AM - 9:59AM
Summer 2010	Thursday	6:00PM - 6:59PM
Summer 2010	Tuesday	6:00PM - 6:59PM
Summer 2010	Wednesday	6:00PM - 6:59PM
Summer 2011	Friday	9:00AM - 9:59AM
Summer 2011	Monday	9:00AM - 9:59AM
Summer 2011	Thursday	6:00PM - 6:59PM
Summer 2011	Tuesday	6:00PM - 6:59PM
Summer 2011	Wednesday	6:00PM - 6:59PM
Summer 2012	Friday	9:00AM - 9:59AM
Summer 2012	Monday	9:00AM - 9:59AM
Summer 2012	Thursday	6:00PM - 6:59PM
Summer 2012	Tuesday	6:00PM - 6:59PM
Summer 2012	Wednesday	6:00PM - 6:59PM
Summer 2013	Friday	9:00AM - 9:59AM
Summer 2013	Monday	9:00AM - 9:59AM
Summer 2013	Thursday	6:00PM - 6:59PM
Summer 2013	Tuesday	6:00PM - 6:59PM
Summer 2013	Wednesday	6:00PM - 6:59PM
Summer 2014	Friday	9:00AM - 9:59AM
Summer 2014	Monday	9:00AM - 9:59AM
Summer 2014	Thursday	6:00PM - 6:59PM
Summer 2014	Tuesday	6:00PM - 6:59PM
Summer 2014	Wednesday	6:00PM - 6:59PM
Summer 2015	Friday	9:00AM - 9:59AM
Summer 2015	Monday	9:00AM - 9:59AM
Summer 2015	Thursday	6:00PM - 6:59PM
Summer 2015	Tuesday	6:00PM - 6:59PM
Summer 2015	Wednesday	6:00PM - 6:59PM
Summer 2016	Friday	9:00AM - 9:59AM
Summer 2016	Monday	9:00AM - 9:59AM
Summer 2016	Thursday	6:00PM - 6:59PM
Summer 2016	Tuesday	6:00PM - 6:59PM
Summer 2016	Wednesday	6:00PM - 6:59PM
Winter 2014	Friday	9:00AM - 9:59AM
Winter 2014	Monday	9:00AM - 9:59AM
Winter 2014	Thursday	9:00AM - 9:59AM
Winter 2014	Tuesday	12:00PM - 12:59PM
Winter 2014	Wednesday	1:00PM - 1:59PM
Winter 2015	Friday	9:00AM - 9:59AM
Winter 2015	Monday	9:00AM - 9:59AM
Winter 2015	Thursday	11:00AM - 11:59AM
Winter 2015	Tuesday	12:00PM - 12:59PM
Winter 2015	Wednesday	11:00AM - 11:59AM
Winter 2016	Friday	9:00AM - 9:59AM
Winter 2016	Monday	9:00AM - 9:59AM
Winter 2016	Thursday	9:00AM - 9:59AM
Winter 2016	Tuesday	9:00AM - 9:59AM
Winter 2016	Wednesday	9:00AM - 9:59AM
Winter 2017	Friday	9:00AM - 9:59AM
Winter 2017	Monday	9:00AM - 9:59AM
Winter 2017	Thursday	9:00AM - 9:59AM
Winter 2017	Tuesday	9:00AM - 9:59AM
Winter 2017	Wednesday	9:00AM - 9:59AM
