1957-SEC	2
1957-SOC	1
1957-SP	1
1957-STA	1
1958-A&S	1
1958-ACC	2
1958-APY	3
1958-ART	13
1958-AS	2
1958-BIO	16
1958-BLW	4
1958-BO	1
1958-CHE	3
1958-CL	1
1958-D&S	2
1958-ECO	11
1958-ED	12
1958-EGN	3
1958-ENG	11
1958-FR	2
1958-GEO	4
1958-GER	4
1958-GLY	1
1958-GOV	5
1958-GST	13
1958-HIS	16
1958-MKT	2
1958-MTH	6
1958-MUS	3
1958-NUR	7
1958-PEM	1
1958-PHI	16
1958-PHW	2
1958-PSY	17
1958-RET	3
1958-SEC	7
1958-SOC	4
1959-ACC	5
1959-APY	4
1959-ART	19
1959-AS	4
1959-BDA	2
1959-BE	4
1959-BIO	9
1959-BLW	5
1959-BMA	3
1959-BO	1
1959-CHE	9
1959-CL	1
1959-D&S	5
1959-ECO	7
1959-ED	9
1959-EGN	6
1959-ENG	27
1959-EXC	4
1959-FR	2
1959-GEO	7
1959-GER	8
1959-GOV	3
1959-GR	1
1959-GST	4
1959-HIS	17
1959-IR	1
1959-LIN	2
1959-MKT	2
1959-MTH	11
1959-MUS	3
1959-NUR	5
1959-PEM	6
1959-PHI	12
1959-PHW	6
1959-PHY	3
1959-PSY	32
1959-RET	3
1959-RUS	1
1959-SEC	5
1959-SOC	9
1959-STA	2
1960-ACC	9
1960-ANA	5
1960-APY	5
1960-ART	14
1960-AS	8
1960-BE	2
1960-BIO	17
1960-BLW	5
1960-BMA	4
1960-CHE	21
1960-CL	2
1960-D&S	1
1960-ECO	15
1960-ED	17
1960-EGN	6
1960-ENG	48
1960-FR	5
1960-GEO	9
1960-GER	8
1960-GOV	8
1960-GR	2
1960-HIS	31
1960-HYG	1
1960-IR	1
1960-ITA	1
1960-LIN	6
1960-MKT	1
1960-MTH	26
1960-MUS	15
1960-NUR	12
1960-PEM	5
1960-PHI	25
1960-PHM	2
1960-PHW	16
1960-PHY	5
1960-PSY	43
1960-PT	2
1960-RUS	2
1960-SEC	6
1960-SOC	17
1960-SP	1
1960-SPA	4
1960-STA	2
1960-SWK	1
1961-ACC	12
1961-ANA	9
1961-APY	7
1961-ART	12
1961-AS	9
1961-BE	2
1961-BIO	13
1961-BLW	6
1961-BMA	1
1961-CHE	20
1961-CL	5
1961-D S	1
1961-D&S	9
1961-ECO	16
1961-ED	31
1961-EGN	26
1961-ENG	57
1961-ESP	1
1961-FR	4
1961-GEO	12
1961-GER	16
1961-GOV	10
1961-GR	2
1961-HIS	40
1961-IR	5
1961-ITA	1
1961-LIN	1
1961-MCH	3
1961-MKT	2
1961-MT	1
1961-MTH	36
1961-MUS	15
1961-NUR	22
1961-PEM	10
1961-PGY	4
1961-PHI	44
1961-PHM	4
1961-PHW	31
1961-PHY	11
1961-PSY	46
1961-PT	3
1961-RET	4
1961-RUS	2
1961-SEC	9
1961-SOC	26
1961-SP	2
1961-SPA	10
1961-STA	6
1962-ACC	11
1962-AIB	3
1962-ANA	7
1962-APY	12
1962-ART	14
1962-AS	16
1962-BAC	1
1962-BCH	3
1962-BE	2
1962-BIO	17
1962-BLW	6
1962-BMA	2
1962-CHE	30
1962-CL	5
1962-D S	4
1962-D&S	9
1962-DS	1
1962-ECO	30
1962-ED	41
1962-EGN	37
1962-ENG	84
1962-FR	10
1962-GEO	12
1962-GER	23
1962-GOV	15
1962-GR	2
1962-HIS	44
1962-INS	1
1962-IR	3
1962-MCH	4
1962-MTH	47
1962-MUS	23
1962-NUR	35
1962-PEM	10
1962-PGY	3
1962-PHI	43
1962-PHM	5
1962-PHW	23
1962-PHY	8
1962-PSY	67
1962-PT	11
1962-RET	3
1962-SEC	10
1962-SOC	35
1962-SPA	12
1962-STA	6
1963-ACC	8
1963-AIB	1
1963-ANA	12
1963-APY	21
1963-ART	19
1963-AS	32
1963-BAC	4
1963-BCH	6
1963-BCP	1
1963-BE	4
1963-BIO	28
1963-BLW	8
1963-BMA	4
1963-BO	5
1963-CHE	57
1963-CHS	0
1963-CL	2
1963-D S	20
1963-D&S	4
1963-ECO	34
1963-ED	40
1963-EGN	35
1963-ENG	111
1963-ENS	4
1963-EXC	1
1963-FIN	3
1963-FR	19
1963-GEO	24
1963-GER	34
1963-GOV	5
1963-GR	1
1963-HIS	75
1963-IR	3
1963-ITA	2
1963-LIN	2
1963-MCH	4
1963-MKT	2
1963-MT	2
1963-MTH	74
1963-MUS	31
1963-NUR	41
1963-PEM	12
1963-PGY	2
1963-PHC	3
1963-PHI	73
1963-PHM	7
1963-PHW	22
1963-PHY	26
1963-PSC	16
1963-PSY	101
1963-PT	7
1963-RE	2
1963-RET	2
1963-RUS	2
1963-SEC	3
1963-SOC	59
1963-SP	1
