Capen 31	08:00__3
Capen 31	11:45__6
Capen 31	15:30__2
Capen Arr	15:30__1
Cary 30	08:00__2
Cary 30	11:45__2
Cary 42	08:00__1
Cary Arr	08:00__1
Cfa 112	08:00__8
Cfa 112	11:45__15
Cfa 112	15:30__11
Cfa 112	19:15__16
Cfa 144	08:00__10
Cfa 144	11:45__20
Cfa 144	15:30__14
Cfa 144	19:15__6
Cfa 232	08:00__8
Cfa 232	11:45__20
Cfa 232	15:30__11
Cfa 232	19:15__5
Cfa 235	08:00__2
Cfa 235	11:45__21
Cfa 235	15:30__9
Cfa 235	19:15__4
Cfa 238	19:15__1
Cfa 242	08:00__10
Cfa 242	11:45__7
Cfa 242	15:30__2
Cfa 244	08:00__11
Cfa 244	11:45__12
Cfa 244	15:30__1
Cfa 244	19:15__4
Cfa 246	08:00__5
Cfa 246	11:45__10
Cfa 246	15:30__1
Cfa 246	19:15__1
Cfa 278	11:45__4
Cfa 278	19:15__1
Cfa 286	08:00__10
Cfa 286	11:45__17
Cfa 286	15:30__5
Cfa 286	19:15__5
Cfa Arr	08:00__1
Cfa Arr	11:45__13
Cfa Arr	15:30__2
Clark Arr	08:00__8
Clemen 04	08:00__23
Clemen 04	11:45__26
Clemen 04	15:30__25
Clemen 04	19:15__10
Clemen 06	08:00__16
Clemen 06	11:45__16
Clemen 06	15:30__19
Clemen 06	19:15__12
Clemen 1004	08:00__5
Clemen 1004	15:30__4
Clemen 102	11:45__5
Clemen 102	19:15__2
Clemen 1030	15:30__2
Clemen 1032	11:45__1
Clemen 103	08:00__11
Clemen 103	11:45__12
Clemen 103	15:30__11
Clemen 103	19:15__7
Clemen 104	08:00__1
Clemen 104	11:45__2
Clemen 104	15:30__2
Clemen 104	19:15__1
Clemen 106	11:45__3
Clemen 106	15:30__1
Clemen 106	19:15__2
Clemen 107	19:15__2
Clemen 108	11:45__1
Clemen 117	08:00__1
Clemen 117	11:45__5
Clemen 119	08:00__15
Clemen 119	11:45__16
Clemen 119	15:30__8
Clemen 119	19:15__9
Clemen 123	08:00__3
Clemen 123	15:30__1
Clemen 17	08:00__14
Clemen 17	11:45__19
Clemen 17	15:30__19
Clemen 17	19:15__2
Clemen 19	08:00__11
Clemen 19	11:45__18
Clemen 19	15:30__19
Clemen 19	17:10__1
Clemen 19	19:15__6
Clemen 202	11:45__2
Clemen 202	15:30__2
Clemen 204	08:00__4
Clemen 204	11:45__5
Clemen 204	15:30__3
Clemen 206	08:00__4
Clemen 206	11:45__6
Clemen 206	15:30__3
Clemen 215	11:45__3
Clemen 215	15:30__2
Clemen 215	19:15__1
Clemen 217	08:00__2
Clemen 217	11:45__5
Clemen 217	15:30__1
Clemen 218	08:00__2
Clemen 218	11:45__3
Clemen 218	15:30__1
Clemen 219	11:45__2
Clemen 219	15:30__6
Clemen 220	08:00__1
Clemen 220	19:15__3
Clemen 221	08:00__3
Clemen 221	11:45__1
Clemen 221	15:30__2
Clemen 322	08:00__29
Clemen 322	11:45__32
Clemen 322	12:00__1
Clemen 322	15:30__25
Clemen 322	19:15__24
Clemen 412	08:00__1
Clemen 436	08:00__1
Clemen 438	11:45__2
Clemen 640	08:00__1
Clemen 708	08:00__3
Clemen 708	11:45__5
Clemen 708	15:30__3
Clemen 708	19:15__3
Clemen 930	08:00__3
Clemen 930	11:45__2
Clemen 930	15:30__3
Coe 306-B	11:45__2
Coe Arr	08:00__4
Coe B3301	11:45__4
Cooke 114	11:45__1
Cooke 114	15:30__3
Cooke 121	08:00__186
Cooke 121	11:45__78
Cooke 121	15:30__64
Cooke 121	19:15__104
Cooke 127A	08:00__4
Cooke 127A	11:45__17
Cooke 127A	15:30__8
Cooke 127A	17:30__1
Cooke 127A	19:15__4
Cooke 127B	08:00__23
Cooke 127B	11:45__31
Cooke 127B	14:45__1
Cooke 127B	15:30__20
Cooke 127B	19:15__7
Cooke 15	08:00__1
Cooke 222	08:00__1
Cooke 248	08:00__2
Cooke 248	11:45__5
Cooke 248	15:30__4
Cooke 248	19:15__3
Cooke 434	08:00__15
Cooke 434	11:45__22
Cooke 434	15:30__23
Cooke 434	19:15__1
Cooke 435	08:00__2
