Baldy 434	87_71_71
Baldy 462	6_2_1
Baldy 464	7_6_3
Baldy 466	121_57_57
Baldy 467	16_4_2
Baldy 468	74_128_64
Baldy 469	2_2_1
Baldy 470	293_79_79
Baldy 471	60_63_63
Baldy 473	70_64_64
Baldy 474	2970_5040_210
Baldy 475	149_54_54
Baldy 476	1716_3444_246
Baldy 477	156_69_69
Baldy 478	78_50_50
Baldy 479	7741_15652_559
Baldy 481	10_13_13
Baldy 482	306_72_72
Baldy 484	7_70_35
Baldy 485	311_99_99
Baldy 486	336_92_92
Baldy 487	137_66_66
Baldy 497	37_4_2
Baldy 501	0_2_1
Baldy 502	0_2_2
Baldy 503	11_10_5
Baldy 505	903_1302_434
Baldy 509	95_120_15
Baldy 513	6_15_15
Baldy 520	1_2_2
Baldy 522	47_57_57
Baldy 524	94_159_159
Baldy 526	70_252_84
Baldy 528	28_29_29
Baldy 530	80_40_40
Baldy 536	118_214_214
Baldy 537	126_197_197
Baldy 538	469_135_135
Baldy 539	389_169_169
Baldy 540	133_224_224
Baldy 541	370_160_160
Baldy 544	133_96_96
Baldy 545	353_158_158
Baldy 546	105_132_132
Baldy 547	264_142_142
Baldy 548	60_170_170
Baldy 549	19_78_78
Baldy 552	17_93_93
Baldy 553	767_4750_250
Baldy 554	11_2_1
Baldy 555	9515_72792_3033
Baldy 560	619_136_68
Baldy 566	7_1_1
Baldy 569	3_2_1
Baldy 572	1_1_1
Baldy 587	7_1_1
Baldy 588	10_1_1
Baldy 593	814_2085_139
Baldy 594	1532_3225_215
Baldy 602	8_74_37
Baldy 603	1691_7520_470
Baldy 604	70_58_58
Baldy 605	2_7_7
Baldy 606	22_38_38
Baldy 607	0_30_5
Baldy 609	0_6_2
Baldy 610	80_61_61
Baldy 611	24_44_44
Baldy 613	3_2_2
Baldy 614	19_5_5
Baldy 616	32_48_48
Baldy 617	173_132_66
Baldy 618	82_54_54
Baldy 620	218_88_88
Baldy 621	13_84_84
Baldy 622	97_190_190
Baldy 623	0_5_5
Baldy 624	43_162_162
Baldy 626	19_146_146
Baldy 627	25_54_54
Baldy 628	44_157_157
Baldy 629	5_3_3
Baldy 630	19_88_88
Baldy 631	74_708_59
Baldy 632	20_138_138
Baldy 633	54_168_168
Baldy 635	2_4_4
Baldy 636	2_7_7
Baldy 637	0_7_7
Baldy 638	1_4_4
Baldy 639	1_2_2
Baldy 642	303_75_75
Baldy 645	22_7_7
Baldy 647	0_1_1
Baldy 648	14_6_6
Baldy 652	0_6_6
Baldy 653	199_300_25
Baldy 656	4_34_17
Baldy 656A	1_2_1
Baldy 657	51_165_165
Baldy 658	131_225_225
Baldy 660	209_222_222
Baldy 662	55_198_198
Baldy 663	3_180_90
Baldy 664	25_50_50
Baldy 665	10_143_143
Baldy 666	20_66_66
Baldy 667	7_108_108
Baldy 668	63_136_136
Baldy 669	233_336_84
Baldy 670	166_218_218
Baldy 671	51_87_87
Baldy 672	50_141_141
Baldy 677	75_55_55
Baldy 680	86_537_179
Baldy 681	39_57_57
Baldy 683	21_113_113
Baldy 684	4880_25623_657
Baldy 689	1_2_1
Beck 02	59_504_28
Beck 102	3_32_16
Bell 123	30_34_34
Bell 125	11_24_12
Bell 126	1212_10384_649
Bell 127	172_69_69
Bell 128	3_2_2
Bell 129	150_67_67
Bell 130	67_39_39
Bell 131	100_43_43
Bell 132	2_2_2
Bell 135	191_99_99
Bell 136	75_164_164
Bell 137	53_42_42
Bell 138	12457_26598_858
Bell 140	14_4_1
Bell 201	161_140_70
Bell 207	19_63_21
Bell 209	76_37_37
Bell 210	125_81_81
Bell 211	2_1_1
Bell 212	131_88_88
